ID,X_happiness,X_gender,T_raw,Y_raw,T,Y
111009303,7,2,2,2,0,1
111009304,8,2,2,1,0,1
111009305,9,2,2,2,0,1
111009401,7,2,2,2,0,1
111009402,9,2,1,2,0,1
111009403,10,2,1,1,0,1
111009404,8,2,3,3,0,1
111009501,11,1,3,1,0,1
111009502,11,1,2,1,0,1
111009504,8,1,2,2,0,1
111009505,6,1,4,4,1,0
111010101,7,2,4,3,1,1
111010102,7,2,4,4,1,0
111010103,8,2,4,3,1,1
111010105,10,2,1,1,0,1
111010201,8,2,2,4,0,0
111010202,7,2,3,3,0,1
111010203,6,2,3,2,0,1
111010301,8,2,2,3,0,1
111010304,10,2,2,2,0,1
111010402,8,2,2,2,0,1
111010403,5,2,2,2,0,1
111010404,8,2,2,4,0,0
111010405,3,2,4,4,1,0
111010502,6,2,2,2,0,1
111010503,9,2,2,3,0,1
111010504,10,2,3,2,0,1
111010505,7,2,2,2,0,1
111011101,10,2,1,1,0,1
111011102,8,2,3,3,0,1
111011103,8,2,3,2,0,1
111011104,9,2,4,3,1,1
111011105,10,2,4,4,1,0
111011201,8,2,2,2,0,1
111011202,6,2,3,2,0,1
111011203,7,2,4,4,1,0
111011205,8,2,2,2,0,1
111011301,9,2,1,2,0,1
111011302,5,2,2,2,0,1
111011303,8,2,2,2,0,1
111011304,5,2,2,2,0,1
111011305,5,2,2,3,0,1
111011401,6,2,4,4,1,0
111011402,9,2,3,2,0,1
111011403,7,2,2,2,0,1
111011404,4,2,2,3,0,1
111011405,9,2,3,3,0,1
111011501,9,2,2,2,0,1
111011502,5,2,4,4,1,0
111011503,5,2,3,4,0,0
111011504,8,2,4,4,1,0
111011505,9,2,3,3,0,1
111012101,7,1,3,3,0,1
111012103,6,2,2,3,0,1
111012104,8,2,2,2,0,1
111012105,6,1,2,2,0,1
111012201,4,2,2,2,0,1
111012202,7,1,4,4,1,0
111012203,6,1,1,1,0,1
111012204,7,2,3,3,0,1
111012205,5,2,3,3,0,1
111012301,10,2,3,1,0,1
111012302,6,2,2,2,0,1
111012303,10,1,1,2,0,1
111012304,9,2,4,4,1,0
111012305,9,1,3,3,0,1
111012401,8,2,4,4,1,0
111012402,9,1,4,2,1,1
111012403,11,2,2,3,0,1
111012404,3,1,3,3,0,1
111012405,7,2,3,1,0,1
111012502,9,1,1,2,0,1
111012503,8,1,1,1,0,1
111012504,7,2,3,3,0,1
111013101,6,2,3,3,0,1
111013103,9,2,3,3,0,1
111013104,7,2,4,4,1,0
111013201,6,2,3,3,0,1
111013202,11,2,1,1,0,1
111013203,6,2,3,4,0,0
111013204,8,2,2,2,0,1
111013205,7,2,3,3,0,1
111013301,9,2,1,2,0,1
111013302,7,2,2,3,0,1
111013303,7,2,3,2,0,1
111013304,7,2,3,3,0,1
111013305,8,2,3,4,0,0
111013401,11,2,2,2,0,1
111013402,6,2,3,3,0,1
111013403,6,2,3,2,0,1
111013404,8,2,3,3,0,1
111013405,8,2,3,4,0,0
111013503,10,2,4,3,1,1
111013504,10,2,2,2,0,1
111013505,8,2,2,2,0,1
111014101,2,2,4,4,1,0
111014102,5,2,3,3,0,1
111014103,8,2,2,2,0,1
111014104,7,2,3,3,0,1
111014105,8,2,3,2,0,1
111014201,9,2,2,2,0,1
111014204,8,2,2,2,0,1
111014205,8,2,3,2,0,1
111014301,7,2,2,2,0,1
111014302,8,2,3,3,0,1
111014303,8,2,2,1,0,1
111014304,5,2,3,4,0,0
111014305,6,2,2,2,0,1
111014402,5,2,3,3,0,1
111014403,8,2,2,2,0,1
111014404,10,2,3,2,0,1
111014405,4,2,3,3,0,1
111014501,7,2,2,2,0,1
111014503,8,2,1,1,0,1
111014504,7,2,2,2,0,1
111014505,8,2,2,2,0,1
111015101,8,1,3,2,0,1
111015102,9,1,4,2,1,1
111015103,8,1,4,4,1,0
111015104,7,1,3,3,0,1
111015105,6,1,1,1,0,1
111015201,6,1,3,3,0,1
111015202,7,1,3,3,0,1
111015203,8,1,1,1,0,1
111015204,9,1,4,3,1,1
111015205,11,1,3,2,0,1
111015206,7,1,4,4,1,0
111015301,8,1,2,2,0,1
111015302,9,1,3,3,0,1
111015304,10,1,2,1,0,1
111015401,7,1,4,4,1,0
111015402,10,1,2,2,0,1
111015502,10,1,2,2,0,1
111015504,11,1,2,3,0,1
111015505,8,1,3,3,0,1
111016102,7,2,4,3,1,1
111016104,8,2,4,4,1,0
111016105,7,2,4,4,1,0
111016108,9,2,2,3,0,1
111016115,7,2,3,3,0,1
111016116,7,2,2,2,0,1
111016118,9,2,1,1,0,1
111016122,9,2,4,2,1,1
111016123,6,2,4,4,1,0
111016124,8,2,2,2,0,1
111017101,5,2,2,2,0,1
111017102,6,2,3,2,0,1
111017103,11,2,4,3,1,1
111017104,10,2,1,1,0,1
111017105,7,2,3,3,0,1
111017201,5,2,4,4,1,0
111017202,8,2,4,4,1,0
111017203,7,2,1,1,0,1
111017204,10,2,2,2,0,1
111017205,7,2,3,3,0,1
111017301,9,1,2,1,0,1
111017302,10,1,1,1,0,1
111017303,9,1,4,2,1,1
